lexEntry	nrOfTokens	isPrefix	polarity
sinner	1	1	negative
sinning	1	0	negative
sins	1	0	negative
sizzl	1	1	negative
skeptic	1	1	negative
sketchy	1	1	negative
skirmish	1	1	negative
skulk	1	1	negative
slack	1	1	negative
slain	1	1	negative
slake on	2	1	negative
slam	1	1	negative
slander	1	1	negative
slap	1	0	negative
slapped	1	0	negative
slapping	1	0	negative
slaps	1	0	negative
slaughter	1	1	negative
slavery	1	0	negative
slay	1	1	negative
sleaz	1	1	negative
slighted	1	0	negative
slighter	1	0	negative
slighting	1	0	negative
slights	1	0	negative
slime	1	1	negative
slimy	1	1	negative
slip up	2	0	negative
slippery	1	1	negative
slither	1	1	negative
slob	1	0	negative
slop	1	0	negative
slopp	1	1	negative
sloth	1	1	negative
slug	1	1	negative
slump	1	1	negative
slur	1	0	negative
slurred	1	0	negative
slurring	1	0	negative
slurs	1	0	negative
slut	1	1	negative
sly	1	1	negative
smack	1	1	negative
smash	1	0	negative
smashed	1	0	negative
smasher	1	1	negative
smashes	1	0	negative
smashing	1	1	negative
smashup	1	1	negative
smear	1	1	negative
smokescreen	1	1	negative
smother	1	1	negative
smug	1	1	negative
snarl	1	1	negative
sneak	1	0	negative
sneaking	1	0	negative
sneaks	1	0	negative
sneaky	1	0	negative
sneer	1	1	negative
snigger	1	1	negative
snob	1	1	negative
snore	1	1	negative
sob	1	0	negative
sobb	1	1	negative
sobs	1	0	negative
solicitud	1	1	negative
somber	1	1	negative
sombr	1	1	negative
sop	1	0	negative
soporific	1	1	negative
sopp	1	1	negative
sops	1	0	negative
sore	1	1	negative
sorrow	1	1	negative
sorry	1	1	negative
soulless	1	1	negative
sour	1	0	negative
soured	1	0	negative
sourer	1	0	negative
sourest	1	0	negative
souring	1	0	negative
sourly	1	0	negative
sourness	1	0	negative
sourpuss	1	0	negative
sours	1	0	negative
spank	1	1	negative
spear	1	0	negative
speared	1	0	negative
spearing	1	0	negative
spears	1	0	negative
spill	1	1	negative
spiral	1	1	negative
spiritless	1	0	negative
spit	1	0	negative
spite	1	1	negative
spiting	1	0	negative
spits	1	0	negative
spitting	1	0	negative
spleen	1	1	negative
spoil	1	1	negative
spotti	1	1	negative
spotty	1	1	negative
sprain	1	1	negative
spurn	1	1	negative
sputter	1	1	negative
squander	1	1	negative
stab	1	0	negative
stabbed	1	1	negative
stabber	1	1	negative
stabbing	1	1	negative
stabs	1	1	negative
stagnant	1	1	negative
stale	1	1	negative
stammer	1	1	negative
standstill	1	1	negative
startl	1	1	negative
starv	1	1	negative
static	1	1	negative
steal	1	0	negative
stealing	1	0	negative
steals	1	0	negative
stench	1	1	negative
stern	1	0	negative
sternest	1	0	negative
sternly	1	0	negative
stew	1	0	negative
stewed	1	0	negative
stewing	1	0	negative
stews	1	0	negative
sticki	1	1	negative
sticky	1	0	negative
stiff	1	1	negative
stifl	1	1	negative
stigma	1	1	negative
sting	1	1	negative
stink	1	1	negative
stole	1	1	negative
stolid	1	1	negative
storm	1	1	negative
strain	1	0	negative
strained	1	0	negative
straining	1	0	negative
strains	1	0	negative
strang	1	1	negative
strangl	1	1	negative
stress	1	1	negative
stricken	1	1	negative
strict	1	1	negative
strif	1	0	negative
strife	1	0	negative
strikeout	1	1	negative
struck	1	1	negative
struggl	1	1	negative
strut	1	1	negative
stubborn	1	1	negative
stuffy	1	1	negative
stumb	1	1	negative
stun	1	0	negative
stung	1	0	negative
stunk	1	0	negative
stunned	1	1	negative
stuns	1	0	negative
stunted	1	0	negative
stupef	1	1	negative
stupid	1	1	negative
stupor	1	1	negative
subjection	1	1	negative
subjugat	1	1	negative
submissiv	1	1	negative
subservien	1	1	negative
subver	1	1	negative
succumb	1	1	negative
suck	1	0	negative
sucked	1	0	negative
sucker	1	0	negative
sucking	1	0	negative
sucks	1	0	negative
suffer	1	1	negative
sufferer	1	1	negative
suffocat	1	1	negative
sulk	1	1	negative
sulky	1	1	negative
sullen	1	1	negative
superficial	1	1	negative
superfluous	1	1	negative
superiority complex	2	0	negative
suppress	1	1	negative
surrender	1	1	negative
susceptib	1	1	negative
suspect	1	1	negative
suspens	1	1	negative
suspicio	1	1	negative
swear	1	1	negative
taboo	1	1	negative
tacky	1	1	negative
tactless	1	1	negative
taint	1	0	negative
tainted	1	0	negative
tainting	1	0	negative
taints	1	0	negative
tamper	1	1	negative
tantali	1	1	negative
tantrum	1	1	negative
tardy	1	1	negative
tasteless	1	0	negative
tatter	1	1	negative
taunt	1	1	negative
taxing	1	0	negative
tear	1	0	negative
teardrop	1	1	negative
tearful	1	1	negative
tearing	1	0	negative
tears	1	0	negative
teary	1	0	negative
tease	1	0	negative
teased	1	0	negative
teases	1	0	negative
teasing	1	0	negative
tedious	1	1	negative
temper	1	0	negative
temperamental	1	1	negative
tempered	1	0	negative
tempers	1	0	negative
tempest	1	1	negative
temptation	1	0	negative
tense	1	1	negative
tension	1	1	negative
terribl	1	1	negative
terrifie	1	1	negative
terrify	1	1	negative
terror	1	1	negative
theft	1	1	negative
thief	1	1	negative
thieve	1	1	negative
thin ice	2	0	negative
thorn	1	1	negative
thoughtless	1	1	negative
thrash	1	1	negative
threat	1	1	negative
thrifts	1	0	negative
thwart	1	1	negative
timid	1	1	negative
timorous	1	1	negative
tirade	1	1	negative
tired	1	1	negative
tiresome	1	1	negative
toil	1	1	negative
too	1	0	negative
toppl	1	1	negative
torment	1	1	negative
torn	1	1	negative
torrent	1	1	negative
tortur	1	1	negative
touchy	1	1	negative
tough	1	1	negative
toxic	1	1	negative
traged	1	1	negative
tragic	1	0	negative
tragically	1	0	negative
traitor	1	1	negative
tramp	1	0	negative
tramped	1	0	negative
tramper	1	1	negative
tramping	1	0	negative
trampl	1	1	negative
tramps	1	0	negative
transgress	1	1	negative
trap	1	0	negative
trapped	1	0	negative
traps	1	0	negative
trashed	1	0	negative
trashing	1	0	negative
trashy	1	0	negative
trauma	1	1	negative
treacherou	1	1	negative
treachery	1	1	negative
treason	1	1	negative
trembl	1	1	negative
tremor	1	1	negative
tremulou	1	1	negative
trepid	1	1	negative
trespass	1	1	negative
trick	1	0	negative
tricked	1	0	negative
tricker	1	0	negative
tricki	1	1	negative
tricks	1	0	negative
trifl	1	1	negative
trite	1	1	negative
trivi	1	1	negative
troubl	1	1	negative
trouble	1	1	negative
truan	1	1	negative
trustless	1	1	negative
tumbl	1	1	negative
tumor	1	1	negative
tumult	1	1	negative
tunnel vision	2	1	negative
turbulen	1	1	negative
turmoil	1	1	negative
turn off	2	1	negative
twilight	1	1	negative
twitch	1	1	negative
tyran	1	1	negative
ugh	1	1	negative
ugl	1	1	negative
umbrag	1	1	negative
unable	1	1	negative
unacceptab	1	1	negative
unaccount	1	1	negative
unaccustomed	1	1	negative
unapolog	1	1	negative
unassertiv	1	1	negative
unattractiv	1	1	negative
unauthentic	1	1	negative
unaware	1	1	negative
unbalanced	1	0	negative
unbearab	1	1	negative
unbelievab	1	1	negative
uncaring	1	1	negative
uncertain	1	1	negative
uncheerful	1	1	negative
uncivil	1	1	negative
unclean	1	1	negative
unclear	1	1	negative
uncomfortab	1	1	negative
unconcerned	1	1	negative
unconscious	1	1	negative
uncontrol	1	1	negative
uncouth	1	1	negative
undefined	1	1	negative
undependab	1	1	negative
underbelly	1	0	negative
undermin	1	1	negative
underpaid	1	0	negative
undesirab	1	1	negative
undetermined	1	1	negative
undignified	1	1	negative
undiminished	1	1	negative
undo	1	0	negative
undoable	1	0	negative
undoes	1	0	negative
undoing	1	0	negative
undone	1	1	negative
undue	1	1	negative
uneas	1	1	negative
uneconomical	1	1	negative
unemployable	1	1	negative
unenviab	1	1	negative
unequal	1	1	negative
unethical	1	1	negative
uneven	1	1	negative
unfair	1	1	negative
unfaithful	1	1	negative
unfamiliar	1	1	negative
unfavorab	1	1	negative
unfavourab	1	1	negative
unfeeling	1	1	negative
unfinished	1	1	negative
unfit	1	1	negative
unforeseen	1	1	negative
unfortunat	1	1	negative
unfounded	1	0	negative
unfriend	1	1	negative
ungrateful	1	1	negative
unguarded	1	1	negative
unhapp	1	1	negative
unhealthy	1	1	negative
unimagin	1	1	negative
unimportant	1	1	negative
unimpress	1	1	negative
uninformed	1	1	negative
uninspir	1	1	negative
uninterest	1	1	negative
uninvited	1	1	negative
unjust	1	1	negative
unkind	1	1	negative
unknown	1	1	negative
unlawful	1	1	negative
unleash	1	1	negative
unlika	1	0	negative
unlikelihood	1	0	negative
unlikely	1	0	negative
unlov	1	1	negative
unluck	1	1	negative
unmotivat	1	1	negative
unmoved	1	1	negative
unnatural	1	1	negative
unnecessary	1	1	negative
unnerv	1	1	negative
unnoticed	1	1	negative
unobserved	1	1	negative
unpleasant	1	1	negative
unpopular	1	1	negative
unprecedented	1	1	negative
unpredictab	1	1	negative
unprepared	1	1	negative
unproductive	1	1	negative
unprofitab	1	1	negative
unprotected	1	1	negative
unproven	1	0	negative
unqualified	1	1	negative
unread	1	1	negative
unreal	1	1	negative
unreasonabl	1	1	negative
unreliab	1	1	negative
unremarkab	1	1	negative
unrest	1	0	negative
unrestful	1	1	negative
unresting	1	0	negative
unrestored	1	0	negative
unrestrained	1	0	negative
unripe	1	1	negative
unru	1	1	negative
unsaf	1	1	negative
unsatisfactory	1	0	negative
unsavo	1	1	negative
unscrupulous	1	1	negative
unseen	1	1	negative
unsettl	1	1	negative
unsightly	1	1	negative
unsound	1	1	negative
unspeakable	1	1	negative
unspectacular	1	1	negative
unstab	1	1	negative
unstead	1	1	negative
unsuccessful	1	1	negative
unsur	1	1	negative
unthanked	1	1	negative
untimely	1	1	negative
untold	1	1	negative
untrained	1	1	negative
untrue	1	1	negative
untrust	1	1	negative
untruth	1	1	negative
unusab	1	1	negative
unusual	1	1	negative
unwanted	1	0	negative
unwarranted	1	1	negative
unwelcom	1	1	negative
unwilling	1	1	negative
unwise	1	1	negative
unworth	1	1	negative
uphill	1	0	negative
uprising	1	1	negative
uproar	1	1	negative
upset	1	1	negative
uptight	1	1	negative
useless	1	1	negative
usurp	1	1	negative
vagabond	1	1	negative
vagrant	1	1	negative
vague	1	1	negative
vain	1	1	negative
vanish	1	1	negative
vanity	1	1	negative
vapor	1	1	negative
vapour	1	1	negative
veil	1	1	negative
vengeanc	1	1	negative
vengeful	1	1	negative
venom	1	1	negative
vex	1	1	negative
vice	1	0	negative
vices	1	0	negative
vicious	1	1	negative
victim	1	1	negative
vile	1	1	negative
villain	1	1	negative
vindictiv	1	1	negative
violat	1	1	negative
violenc	1	1	negative
violent	1	1	negative
viper	1	1	negative
viral	1	0	negative
virulent	1	0	negative
void	1	1	negative
volatil	1	1	negative
vulgar	1	1	negative
vulnerab	1	1	negative
vulture	1	1	negative
wail	1	1	negative
wait	1	0	negative
wallow	1	1	negative
wanker	1	1	negative
wanton	1	1	negative
war	1	0	negative
warble	1	1	negative
warbling	1	0	negative
warfare	1	1	negative
warier	1	0	negative
wariest	1	0	negative
warily	1	0	negative
wariness	1	0	negative
warlik	1	1	negative
warmonger	1	0	negative
warms	1	0	negative
warn	1	1	negative
warp	1	0	negative
warpath	1	1	negative
warped	1	0	negative
warper	1	0	negative
warping	1	0	negative
warrantless	1	1	negative
warred	1	0	negative
warring	1	1	negative
wars	1	1	negative
wart	1	0	negative
warti	1	1	negative
wary	1	1	negative
waste	1	1	negative
wayward	1	1	negative
weak	1	1	negative
weariness	1	1	negative
wearisom	1	1	negative
weary	1	1	negative
weed	1	0	negative
weedi	1	1	negative
weeds	1	0	negative
weedy	1	0	negative
weep	1	1	negative
weird	1	1	negative
wench	1	1	negative
wept	1	1	negative
whack	1	0	negative
whimp	1	1	negative
whin	1	1	negative
whip	1	0	negative
whiplash	1	1	negative
whipped	1	0	negative
whipper	1	0	negative
whipping	1	0	negative
whips	1	0	negative
whore	1	1	negative
wicked	1	1	negative
wild	1	0	negative
wily	1	1	negative
wimp	1	1	negative
winc	1	1	negative
wining	1	0	negative
wipe out	2	0	negative
wishy washy	2	1	negative
witch	1	1	negative
wither	1	1	negative
withheld	1	0	negative
withhold	1	1	negative
woe	1	1	negative
woozier	1	0	negative
wooziest	1	0	negative
wooziness	1	0	negative
woozy	1	0	negative
worn	1	1	negative
worr	1	1	negative
worry	1	1	negative
worse	1	1	negative
worst	1	1	negative
worthless	1	1	negative
wound	1	0	negative
wounded	1	0	negative
wounds	1	0	negative
wrath	1	1	negative
wreck	1	1	negative
wrestl	1	1	negative
wretch	1	1	negative
writhe	1	1	negative
wrong	1	1	negative
xenophob	1	1	negative
yawn	1	1	negative
yearn	1	1	negative
yuck	1	1	negative
zealot	1	1	negative
ability	1	1	positive
abound	1	1	positive
absolv	1	1	positive
absorbent	1	1	positive
absorption	1	1	positive
abundanc	1	1	positive
abundant	1	1	positive
acced	1	1	positive
accentuat	1	1	positive
accept	1	1	positive
accessib	1	1	positive
acclaim	1	1	positive
acclamation	1	1	positive
accolad	1	1	positive
accommodat	1	1	positive
accomplish	1	1	positive
accord	1	0	positive
accordan	1	1	positive
accorded	1	1	positive
accords	1	0	positive
accountab	1	1	positive
accru	1	1	positive
accuracy	1	1	positive
accurat	1	1	positive
accustom	1	1	positive
ace	1	0	positive
aced	1	0	positive
aces	1	0	positive
achiev	1	1	positive
acquaintanc	1	1	positive
acquiesc	1	1	positive
active	1	1	positive
actual	1	0	positive
actuali	1	1	positive
adaptab	1	1	positive
adaptive	1	0	positive
adept	1	1	positive
adequat	1	1	positive
adhere	1	1	positive
admirab	1	1	positive
admiration	1	1	positive
admire	1	1	positive
admiring	1	1	positive
admit	1	1	positive
adopt	1	1	positive
adorable	1	0	positive
adorably	1	0	positive
adoration	1	0	positive
adore	1	1	positive
adoring	1	0	positive
adorn	1	1	positive
adornment	1	0	positive
adroit	1	1	positive
advanc	1	1	positive
advantag	1	1	positive
adventur	1	1	positive
advisab	1	1	positive
advocacy	1	1	positive
advocat	1	1	positive
affab	1	1	positive
affability	1	1	positive
affection	1	1	positive
affinity	1	1	positive
affirm	1	1	positive
affix	1	1	positive
affluent	1	1	positive
afford	1	1	positive
afloat	1	1	positive
agil	1	1	positive
agree	1	1	positive
aid	1	0	positive
aided	1	0	positive
aids	1	0	positive
alertness	1	0	positive
aliv	1	1	positive
allay	1	1	positive
allegian	1	1	positive
alleviat	1	1	positive
allianc	1	1	positive
allied	1	1	positive
allowab	1	1	positive
allowed	1	1	positive
allur	1	1	positive
ally	1	1	positive
alright	1	0	positive
amatory	1	1	positive
amaz	1	1	positive
ameliorat	1	1	positive
amenab	1	1	positive
amends	1	0	positive
amiab	1	1	positive
amicab	1	1	positive
amnesty	1	1	positive
amore	1	0	positive
amorous	1	1	positive
amour	1	1	positive
ampl	1	1	positive
amus	1	1	positive
angel	1	0	positive
angelic	1	1	positive
angels	1	0	positive
animat	1	1	positive
antiseptic	1	1	positive
apologetic	1	1	positive
apologies	1	0	positive
apologis	1	1	positive
apologising	1	0	positive
apologiz	1	1	positive
apology	1	1	positive
appeas	1	1	positive
applaud	1	1	positive
applaus	1	1	positive
apposit	1	1	positive
appraisal	1	1	positive
apprecia	1	1	positive
apprehend	1	1	positive
approv	1	1	positive
apt	1	1	positive
ardent	1	1	positive
ardor	1	1	positive
ardour	1	1	positive
aristocra	1	1	positive
artful	1	1	positive
artistic	1	1	positive
aspir	1	1	positive
assent	1	1	positive
assert	1	1	positive
asset	1	1	positive
assiduous	1	1	positive
assist	1	0	positive
assistance	1	1	positive
assisted	1	0	positive
assisting	1	0	positive
assists	1	0	positive
assuag	1	1	positive
assuasiv	1	1	positive
assur	1	1	positive
astut	1	1	positive
attach	1	0	positive
attachment	1	0	positive
attain	1	1	positive
attract	1	1	positive
attun	1	1	positive
auspicious	1	1	positive
authentic	1	1	positive
authenticity	1	1	positive
authoritative	1	1	positive
autonom	1	1	positive
avid	1	1	positive
award	1	1	positive
awareness	1	0	positive
awesome	1	1	positive
backbon	1	1	positive
balance	1	1	positive
balmy	1	1	positive
beaming	1	0	positive
beatif	1	1	positive
beatitude	1	1	positive
beaut	1	1	positive
becharm	1	1	positive
befit	1	1	positive
befriend	1	1	positive
behalf	1	1	positive
beloved	1	1	positive
benefactor	1	1	positive
benefic	1	1	positive
benefit	1	1	positive
benevolen	1	1	positive
benign	1	1	positive
best	1	0	positive
betrothed	1	1	positive
better	1	0	positive
bewitch	1	1	positive
big break	2	1	positive
big heart	2	1	positive
blameless	1	1	positive
bless	1	1	positive
bliss	1	1	positive
blith	1	1	positive
bloom	1	0	positive
bloomed	1	0	positive
blooming	1	0	positive
blooms	1	0	positive
bloomy	1	0	positive
blossom	1	1	positive
blow a kiss	3	0	positive
bold	1	0	positive
bolder	1	0	positive
boldest	1	0	positive
boldly	1	0	positive
boldness	1	0	positive
bolster	1	1	positive
bonny	1	1	positive
boon	1	0	positive
bound by	2	1	positive
bounden duty	2	1	positive
bountiful	1	1	positive
brainy	1	0	positive
brave	1	1	positive
break no bones	3	0	positive
break through	2	0	positive
breakthrough	1	1	positive
breathtaking	1	1	positive
bright	1	1	positive
brillian	1	1	positive
broadminded	1	1	positive
brotherhood	1	1	positive
brotherly	1	1	positive
buddy	1	1	positive
bullet proof	2	0	positive
bulletproof	1	0	positive
bull's eye	2	0	positive
buoyan	1	1	positive
calm	1	1	positive
candid	1	0	positive
candidly	1	0	positive
candidness	1	0	positive
candor	1	1	positive
candour	1	1	positive
capab	1	1	positive
captivat	1	1	positive
care	1	0	positive
cared	1	0	positive
carefre	1	1	positive
careful	1	1	positive
carer	1	0	positive
cares	1	0	positive
caress	1	1	positive
caring	1	1	positive
carol	1	1	positive
casual	1	0	positive
casually	1	0	positive
cater	1	0	positive
catered	1	0	positive
catering	1	0	positive
caters	1	0	positive
cautious	1	1	positive
celebrat	1	1	positive
celebrit	1	1	positive
ceremon	1	1	positive
champ	1	0	positive
champion	1	1	positive
champs	1	0	positive
charismatic	1	1	positive
charit	1	1	positive
charm	1	1	positive
chaste	1	1	positive
cheap	1	0	positive
cheaper	1	0	positive
cheapest	1	0	positive
cheaply	1	0	positive
cheer	1	0	positive
cheered	1	1	positive
cheerer	1	1	positive
cheerful	1	1	positive
cheeri	1	1	positive
cheerlead	1	1	positive
cheers	1	1	positive
cheery	1	1	positive
cherish	1	1	positive
cherub	1	1	positive
chilled out	2	0	positive
chuckl	1	1	positive
civil	1	1	positive
clarify	1	1	positive
classic	1	1	positive
classier	1	0	positive
classiest	1	0	positive
classiness	1	0	positive
classy	1	0	positive
clean	1	0	positive
cleaned	1	0	positive
cleaner	1	0	positive
cleanest	1	0	positive
cleaning	1	0	positive
cleanliness	1	0	positive
cleans	1	0	positive
cleanse	1	0	positive
cleansing	1	0	positive
cleanup	1	0	positive
clear head	2	1	positive
cleared	1	0	positive
clearer	1	0	positive
clearest	1	0	positive
clearheaded	1	0	positive
clearing	1	1	positive
clearness	1	0	positive
clears	1	0	positive
clever	1	1	positive
cling	1	1	positive
cloud nine	2	0	positive
cloudless	1	1	positive
coaction	1	1	positive
coddl	1	1	positive
cogent	1	1	positive
cognizant	1	1	positive
coherent	1	1	positive
cohes	1	1	positive
collaborative	1	1	positive
colleagu	1	1	positive
combating	1	0	positive
combats	1	0	positive
combatting	1	0	positive
come to life	3	1	positive
come upon for	3	1	positive
comeback	1	0	positive
comely	1	1	positive
comfort	1	0	positive
comfortab	1	1	positive
comforted	1	1	positive
comforter	1	1	positive
comforting	1	1	positive
comforts	1	1	positive
commemorat	1	1	positive
commend	1	1	positive
commensurat	1	1	positive
commiserat	1	1	positive
commitment	1	1	positive
commodious	1	1	positive
companion	1	1	positive
compassion	1	1	positive
compatib	1	1	positive
compensat	1	1	positive
competen	1	1	positive
complacen	1	1	positive
complement	1	1	positive
completeness	1	0	positive
complianc	1	1	positive
compliment	1	1	positive
comply	1	0	positive
complying	1	0	positive
comprehensiv	1	1	positive
conciliation	1	1	positive
conciliatory	1	1	positive
conclusiv	1	1	positive
concur	1	0	positive
concurred	1	0	positive
concurs	1	0	positive
conduciv	1	1	positive
confidant	1	0	positive
confide	1	0	positive
confided	1	0	positive
confidenc	1	1	positive
confident	1	0	positive
confidently	1	0	positive
confides	1	0	positive
confiding	1	0	positive
confirm	1	1	positive
congenial	1	1	positive
congratulat	1	1	positive
connect	1	0	positive
conque	1	1	positive
conscienc	1	1	positive
conscientious	1	1	positive
consensus	1	1	positive
consent	1	1	positive
conservation	1	0	positive
conserve	1	1	positive
considerat	1	1	positive
consign	1	1	positive
consistency	1	0	positive
consistent	1	0	positive
consolable	1	0	positive
consolation	1	0	positive
consolatory	1	0	positive
console	1	0	positive
consoled	1	0	positive
consoles	1	0	positive
consolidat	1	1	positive
consoling	1	0	positive
construct	1	0	positive
constructed	1	0	positive
constructing	1	0	positive
constructiv	1	1	positive
consummat	1	1	positive
contented	1	1	positive
contenting	1	0	positive
contently	1	0	positive
contentment	1	1	positive
continuity	1	1	positive
contribution	1	1	positive
convenient	1	1	positive
convinc	1	1	positive
convivial	1	1	positive
cool head	2	1	positive
cooperat	1	1	positive
coordinate	1	0	positive
coordinated	1	0	positive
coordinates	1	0	positive
coordination	1	0	positive
cope	1	1	positive
coping	1	1	positive
cordial	1	1	positive
correct	1	0	positive
corrected	1	0	positive
correcting	1	0	positive
corrective	1	1	positive
correctly	1	0	positive
correctness	1	0	positive
cosy	1	1	positive
courag	1	1	positive
courted	1	0	positive
courteous	1	1	positive
courtesy	1	0	positive
courting	1	0	positive
courtli	1	1	positive
courtly	1	0	positive
create	1	0	positive
created	1	0	positive
creating	1	0	positive
creation	1	0	positive
creations	1	0	positive
creativ	1	1	positive
credibility	1	0	positive
credible	1	0	positive
credit	1	0	positive
creditable	1	0	positive
creditably	1	0	positive
credited	1	0	positive
crediting	1	0	positive
credits	1	0	positive
crown	1	1	positive
crystal	1	0	positive
cuddl	1	1	positive
culminat	1	1	positive
cultivat	1	1	positive
cupid	1	1	positive
cure	1	0	positive
cured	1	0	positive
curer	1	0	positive
cures	1	0	positive
curiosity	1	0	positive
curious	1	1	positive
cute	1	1	positive
cutie	1	1	positive
cutting edge	2	0	positive
danc	1	1	positive
daring	1	1	positive
darlin	1	1	positive
dauntless	1	1	positive
dazzl	1	1	positive
dear	1	0	positive
dearer	1	1	positive
dearest	1	1	positive
deari	1	1	positive
dearly	1	1	positive
dearness	1	1	positive
dears	1	1	positive
decency	1	1	positive
decent	1	0	positive
decently	1	0	positive
decisiv	1	1	positive
decorat	1	1	positive
dedicat	1	1	positive
defend	1	0	positive
defended	1	0	positive
defender	1	0	positive
defending	1	0	positive
defends	1	0	positive
defensible	1	0	positive
delicac	1	1	positive
delicate	1	1	positive
delicious	1	1	positive
delight	1	1	positive
delightful	1	1	positive
dependab	1	1	positive
descry	1	1	positive
deserv	1	1	positive
desir	1	1	positive
determin	1	1	positive
detersiv	1	1	positive
devot	1	1	positive
dexter	1	1	positive
digni	1	1	positive
diligent	1	1	positive
dirt cheap	2	1	positive
discern	1	1	positive
discover	1	1	positive
discreet	1	1	positive
discretion	1	1	positive
dispensatory	1	1	positive
distinguished	1	1	positive
divin	1	1	positive
docil	1	1	positive
dominan	1	1	positive
doubtless	1	1	positive
doughty	1	1	positive
down to earth	3	1	positive
dutiful	1	1	positive
eager	1	1	positive
earnest	1	1	positive
ease	1	0	positive
eased	1	0	positive
easeful	1	0	positive
easement	1	0	positive
eases	1	0	positive
easi	1	1	positive
easy	1	1	positive
ebullient	1	1	positive
ecstatic	1	1	positive
educate	1	1	positive
educating	1	0	positive
educational	1	1	positive
educations	1	0	positive
educator	1	1	positive
effectiv	1	1	positive
efficac	1	1	positive
efficien	1	1	positive
effort	1	1	positive
elaborat	1	1	positive
elat	1	1	positive
elegan	1	1	positive
eloquent	1	1	positive
embolden	1	1	positive
embrac	1	1	positive
eminenc	1	1	positive
eminent	1	1	positive
empath	1	1	positive
emperor	1	1	positive
emphatic	1	1	positive
empower	1	1	positive
enamor	1	1	positive
enamour	1	1	positive
enchant	1	1	positive
encourag	1	1	positive
endear	1	1	positive
energetic	1	1	positive
energiz	1	1	positive
enhanc	1	1	positive
enjoy	1	1	positive
enjoyment	1	1	positive
enlighten	1	1	positive
enrich	1	1	positive
ensur	1	1	positive
entertain	1	1	positive
enthrallment	1	1	positive
enthus	1	1	positive
enthusiastic	1	1	positive
entranced	1	0	positive
entrancement	1	1	positive
entrancing	1	0	positive
enviable	1	0	positive
enviably	1	0	positive
equality	1	0	positive
equitabl	1	1	positive
escap	1	1	positive
essential	1	0	positive
esteem	1	1	positive
ethic	1	1	positive
euphori	1	1	positive
exalt	1	1	positive
excel	1	1	positive
exceptional	1	0	positive
excitab	1	1	positive
excite	1	1	positive
excited	1	1	positive
exciting	1	1	positive
exhilarat	1	1	positive
exhilerat	1	1	positive
expectancy	1	1	positive
expert	1	1	positive
expressiv	1	1	positive
exquisit	1	1	positive
extraordinary	1	1	positive
exuberan	1	1	positive
exult	1	1	positive
exultant	1	1	positive
fabulous	1	1	positive
facile	1	0	positive
factual	1	1	positive
fair	1	0	positive
fairer	1	0	positive
fairest	1	0	positive
fairness	1	0	positive
faith	1	0	positive
faithful	1	1	positive
fallib	1	0	positive
fame	1	0	positive
famed	1	1	positive
famou	1	1	positive
fanci	1	1	positive
fancy	1	1	positive
fantastic	1	1	positive
farsighted	1	1	positive
fascinat	1	1	positive
fashionab	1	1	positive
faultless	1	1	positive
favorab	1	1	positive
favorite	1	1	positive
favourab	1	1	positive
favourite	1	1	positive
fearless	1	1	positive
feasible	1	0	positive
feast	1	1	positive
fecund	1	1	positive
fervor	1	1	positive
fervour	1	1	positive
festal	1	1	positive
festiv	1	1	positive
fete	1	1	positive
fidelity	1	1	positive
fiesta	1	1	positive
finesse	1	0	positive
finest	1	0	positive
firmly	1	0	positive
firmness	1	0	positive
fit	1	0	positive
fitness	1	0	positive
flatter	1	1	positive
flawless	1	1	positive
flexib	1	1	positive
flirt	1	1	positive
flourish	1	1	positive
fluen	1	1	positive
flush	1	0	positive
flushed	1	0	positive
fond	1	0	positive
fonder	1	0	positive
fondest	1	0	positive
fondly	1	0	positive
fondness	1	0	positive
forceful	1	0	positive
foremost	1	1	positive
foresight	1	1	positive
forgav	1	1	positive
forgiv	1	1	positive
fortitud	1	1	positive
fortunate	1	1	positive
forward	1	0	positive
foster	1	0	positive
fostered	1	0	positive
fosterer	1	0	positive
fostering	1	0	positive
fosters	1	0	positive
fragrant	1	1	positive
frank	1	0	positive
franker	1	0	positive
frankest	1	0	positive
frankness	1	0	positive
fraternal	1	1	positive
free	1	0	positive
freeb	1	1	positive
freed	1	1	positive
freedom	1	1	positive
freeing	1	0	positive
freely	1	0	positive
freeman	1	0	positive
freeness	1	0	positive
freer	1	0	positive
frees	1	0	positive
freest	1	0	positive
freethink	1	1	positive
fresh	1	1	positive
friend	1	0	positive
friendli	1	1	positive
friendly	1	0	positive
friends	1	0	positive
friendship	1	1	positive
frolic	1	1	positive
frugal	1	1	positive
fruitful	1	1	positive
fruition	1	1	positive
fulfill	1	1	positive
fullness	1	1	positive
fun	1	0	positive
funni	1	1	positive
funny	1	1	positive
gaiety	1	1	positive
gaily	1	0	positive
gala	1	0	positive
galas	1	0	positive
gallant	1	1	positive
garnish	1	1	positive
gayly	1	0	positive
generate	1	1	positive
generating	1	0	positive
generative	1	0	positive
genero	1	1	positive
genial	1	1	positive
geniu	1	1	positive
gentle	1	0	positive
gentler	1	0	positive
gentlest	1	0	positive
gently	1	0	positive
genuin	1	1	positive
germane	1	0	positive
giddy	1	1	positive
gift	1	1	positive
gifted	1	1	positive
giggl	1	1	positive
glad	1	0	positive
gladden	1	1	positive
gladder	1	0	positive
gladdest	1	0	positive
gladly	1	0	positive
gladnes	1	1	positive
gladsome	1	1	positive
glamor	1	1	positive
glamour	1	1	positive
gleam	1	1	positive
glean	1	1	positive
