	speech	country	speaker	participanttype	role_in_un	spv	basename	topic	date	year	month	day	filename	types	tokens	sentences	topic2	subtopic	agenda_item1	agenda_item2	agenda_item3	decision
55930	14	Spain	Mr. Oyarzun Marchesi	Mentioned		7643	UNSC_2016_SPV.7643	United Nations peacekeeping operations	11 March 2016	2016	3	11	UNSC_2016_SPV.7643_spch014.txt	130	213	10	United Nations peacekeeping operations	United Nations peacekeeping operations	Thematic	Peacekeeping	Thematic	
55931	15	Senegal	Mr. Seck	Mentioned		7643	UNSC_2016_SPV.7643	United Nations peacekeeping operations	11 March 2016	2016	3	11	UNSC_2016_SPV.7643_spch015.txt	139	236	6	United Nations peacekeeping operations	United Nations peacekeeping operations	Thematic	Peacekeeping	Thematic	
55932	16	New Zealand	Mrs. Schwalger	Mentioned		7643	UNSC_2016_SPV.7643	United Nations peacekeeping operations	11 March 2016	2016	3	11	UNSC_2016_SPV.7643_spch016.txt	119	203	7	United Nations peacekeeping operations	United Nations peacekeeping operations	Thematic	Peacekeeping	Thematic	
55933	17	Japan	Mr. Yoshikawa	Mentioned		7643	UNSC_2016_SPV.7643	United Nations peacekeeping operations	11 March 2016	2016	3	11	UNSC_2016_SPV.7643_spch017.txt	154	273	9	United Nations peacekeeping operations	United Nations peacekeeping operations	Thematic	Peacekeeping	Thematic	
55934	18	Uruguay	Mr. Bermudez	Mentioned		7643	UNSC_2016_SPV.7643	United Nations peacekeeping operations	11 March 2016	2016	3	11	UNSC_2016_SPV.7643_spch018.txt	153	263	6	United Nations peacekeeping operations	United Nations peacekeeping operations	Thematic	Peacekeeping	Thematic	
56138	12	United Kingdom Of Great Britain And Northern Ireland	Mr. Rycroft	Mentioned		7658	UNSC_2016_SPV.7658	Women and peace and security	28 March 2016	2016	3	28	UNSC_2016_SPV.7658_spch012.txt	389	955	42	Women and peace and security	Women and peace and security	Thematic	Women and peace and security	Thematic	
56139	13	United States Of America	Ms. Sison	Mentioned		7658	UNSC_2016_SPV.7658	Women and peace and security	28 March 2016	2016	3	28	UNSC_2016_SPV.7658_spch013.txt	525	1286	39	Women and peace and security	Women and peace and security	Thematic	Women and peace and security	Thematic	
56141	15	China	Mr. Liu Jieyi	Mentioned		7658	UNSC_2016_SPV.7658	Women and peace and security	28 March 2016	2016	3	28	UNSC_2016_SPV.7658_spch015.txt	412	957	35	Women and peace and security	Women and peace and security	Thematic	Women and peace and security	Thematic	
56143	17	New Zealand	Mrs. Schwalger	Mentioned		7658	UNSC_2016_SPV.7658	Women and peace and security	28 March 2016	2016	3	28	UNSC_2016_SPV.7658_spch017.txt	402	872	40	Women and peace and security	Women and peace and security	Thematic	Women and peace and security	Thematic	
56149	23	France	Mr. Delattre	Mentioned		7658	UNSC_2016_SPV.7658	Women and peace and security	28 March 2016	2016	3	28	UNSC_2016_SPV.7658_spch023.txt	478	1227	49	Women and peace and security	Women and peace and security	Thematic	Women and peace and security	Thematic	
56150	24	Russian Federation	Mr. Zagaynov	Mentioned		7658	UNSC_2016_SPV.7658	Women and peace and security	28 March 2016	2016	3	28	UNSC_2016_SPV.7658_spch024.txt	356	873	29	Women and peace and security	Women and peace and security	Thematic	Women and peace and security	Thematic	
56152	26	Egypt	Mr. Mahmoud	Mentioned		7658	UNSC_2016_SPV.7658	Women and peace and security	28 March 2016	2016	3	28	UNSC_2016_SPV.7658_spch026.txt	392	1044	41	Women and peace and security	Women and peace and security	Thematic	Women and peace and security	Thematic	
56155	29	Angola	Ms. Delgado/Mr. Gaspar Martins	The President		7658	UNSC_2016_SPV.7658	Women and peace and security	28 March 2016	2016	3	28	UNSC_2016_SPV.7658_spch029.txt	550	1341	43	Women and peace and security	Women and peace and security	Thematic	Women and peace and security	Thematic	
56196	70	Namibia	Mr. Emvula	Guest		7658	UNSC_2016_SPV.7658	Women and peace and security	28 March 2016	2016	3	28	UNSC_2016_SPV.7658_spch070.txt	428	1041	33	Women and peace and security	Women and peace and security	Thematic	Women and peace and security	Thematic	
